"","Team","W","L"
"1","Atl",18,55
"2","Bkn",26,47
"3","Bos",31,42
"4","Cha",47,26
"5","Chi",34,41
"6","Cle",48,25
"7","Dal",6,66
"8","Den",54,19
"9","Det",3,70
"10","GSW",64,9
"11","Hou",18,54
"12","Ind",56,17
"13","Lac",50,25
"14","Lal",52,21
"15","Mem",38,36
"16","Mia",14,60
"17","Mil",65,8
"18","Min",43,31
"19","NO",37,36
"20","NY",48,26
"21","Okc",55,19
"22","ORL",46,27
"23","Phi",50,23
"24","Pho",40,33
"25","Por",43,30
"26","Sac",14,60
"27","Sas",15,58
"28","Tor",37,37
"29","Uta",12,61
"30","Was",36,38
