"","Date","Away","Score","Home","Score.1","Result","Home.Spread","ATS","Total","OU","X","Diff","Year","defAPPS","offAPPS"
"1",2016-04-28,"ATL",104,"BOS",92,"L",3,"L",199,"U",NA,12,2016,-0.108108233353609,-0.0412604308065078
"2",2016-04-24,"ATL",95,"BOS",104,"W",1,"W",203,"U",NA,-9,2016,-0.108108233353609,-0.0412604308065078
"3",2016-04-22,"ATL",103,"BOS",111,"W",-3,"W",203.5,"O",NA,-8,2016,-0.108108233353609,-0.0412604308065078
"4",2015-04-26,"CLE",101,"BOS",93,"L",9,"W",204.5,"U",NA,8,2015,-0.0310197918180528,-0.00688642210923463
"5",2015-04-23,"CLE",103,"BOS",95,"L",8.5,"W",208.5,"U",NA,8,2015,-0.0310197918180528,-0.00688642210923463
"6",2013-05-03,"NY",88,"BOS",80,"L",2.5,"L",180.5,"U",NA,8,2013,0.00496426755603731,-0.0553368608577256
"7",2013-04-28,"NY",90,"BOS",97,"W",1.5,"W",181.5,"O",NA,-7,2013,0.00496426755603731,-0.0553368608577256
"8",2013-04-26,"NY",90,"BOS",76,"L",-2.5,"L",184,"U",NA,14,2013,0.00496426755603731,-0.0553368608577256
"9",2012-06-07,"MIA",98,"BOS",79,"L",2,"L",180,"U",NA,19,2012,-0.0215074409529244,-0.0638990923829668
"10",2012-06-03,"MIA",91,"BOS",93,"W",2,"W",179.5,"O",NA,-2,2012,-0.0215074409529244,-0.0638990923829668
"11",2012-06-01,"MIA",91,"BOS",101,"W",-2.5,"W",178.5,"O",NA,-10,2012,-0.0215074409529244,-0.0638990923829668
"12",2012-05-26,"PHI",75,"BOS",85,"W",-6,"W",170.5,"U",NA,-10,2012,-0.0178925014646913,-0.0615373350655968
"13",2012-05-21,"PHI",85,"BOS",101,"W",-5,"W",173,"O",NA,-16,2012,-0.0178925014646913,-0.0615373350655968
"14",2012-05-14,"PHI",82,"BOS",81,"L",-4.5,"L",174.5,"U",NA,1,2012,-0.0178925014646913,-0.0615373350655968
"15",2012-05-12,"PHI",91,"BOS",92,"W",-5.5,"L",171.5,"O",NA,-1,2012,-0.0178925014646913,-0.0615373350655968
"16",2012-05-10,"ATL",80,"BOS",83,"W",-6.5,"L",173.5,"U",NA,-3,2012,-0.019748139871472,-0.0789948821770631
"17",2012-05-06,"ATL",79,"BOS",101,"W",-6,"W",172,"O",NA,-22,2012,-0.019748139871472,-0.0789948821770631
"18",2012-05-04,"ATL",84,"BOS",90,"W",-8,"L",173.5,"O",NA,-6,2012,-0.019748139871472,-0.0789948821770631
"19",2015-05-01,"ATL",111,"BKN",87,"L",5,"L",198.5,"U",NA,24,2015,-0.0176550267200705,0.0297008585274967
"20",2015-04-27,"ATL",115,"BKN",120,"W",5.5,"W",198,"O",NA,-5,2015,-0.0176550267200705,0.0297008585274967
"21",2015-04-25,"ATL",83,"BKN",91,"W",3.5,"W",199,"U",NA,-8,2015,-0.0176550267200705,0.0297008585274967
