"","Team","Current-W","Current-L","Conference","Projected-W","Projected-L"
"1","Bos",50,27,"East",54,28
"2","Cle",49,27,"East",53,29
"3","Tor",47,30,"East",49,33
"4","Was",46,31,"East",49,33
"5","Ind",37,40,"East",42,40
"6","Atl",39,38,"East",41,41
"7","Mil",40,37,"East",41,41
"8","Chi",38,39,"East",40,42
"9","Mia",37,40,"East",39,43
"10","Cha",36,41,"East",37,45
"11","Det",35,42,"East",35,47
"12","NY",29,48,"East",33,49
"13","Phi",28,49,"East",31,51
"14","ORL",27,50,"East",29,53
"15","Bkn",18,59,"East",19,63
"16","GSW",63,14,"West",68,14
"17","Sas",59,17,"West",65,17
"18","Hou",52,25,"West",55,27
"19","Lac",47,31,"West",50,32
"20","Uta",47,30,"West",50,32
"21","Mem",42,35,"West",46,36
"22","Okc",43,33,"West",45,37
"23","Por",38,38,"West",40,42
"24","Den",36,40,"West",38,44
"25","NO",33,44,"West",35,47
"26","Dal",32,44,"West",33,49
"27","Sac",30,47,"West",33,49
"28","Min",30,45,"West",32,50
"29","Lal",22,55,"West",24,58
"30","Pho",22,56,"West",24,58
