"","Team","Current-W","Current-L","Conference","Projected-W","Projected-L"
"1","Bos",48,27,"East",53,29
"2","Cle",47,27,"East",53,29
"3","Tor",45,30,"East",49,33
"4","Was",46,29,"East",49,33
"5","Ind",37,38,"East",42,40
"6","Mil",39,36,"East",42,40
"7","Atl",39,36,"East",41,41
"8","Mia",37,38,"East",41,41
"9","Chi",36,39,"East",39,43
"10","Cha",34,41,"East",36,46
"11","NY",28,47,"East",33,49
"12","Phi",28,47,"East",31,51
"13","ORL",27,48,"East",29,53
"14","Bkn",16,59,"East",19,63
"15","Det",35,41,"East",35,47
