"","Team","Current-W","Current-L","Conference","Projected-W","Projected-L"
"1","GSW",43,8,"West",72,10
"2","Sas",39,11,"West",70,12
"3","Lac",31,19,"West",53,29
"4","Mem",31,22,"West",49,33
"5","Hou",37,17,"West",47,35
"6","Uta",32,19,"West",46,36
"7","Okc",29,22,"West",42,40
"8","Por",22,29,"West",38,44
"9","NO",19,32,"West",37,45
"10","Sac",20,31,"West",36,46
"11","Den",22,28,"West",32,50
"12","Dal",20,30,"West",30,52
"13","Min",19,32,"West",28,54
"14","Lal",17,36,"West",22,60
"15","Pho",16,35,"West",21,61
