"","Team","Current-W","Current-L","Conference","W","L"
"1","Tor",28,18,"East",54,28
"2","Bos",27,18,"East",53,29
"3","Cle",30,14,"East",51,31
"4","Ind",23,22,"East",47,35
"5","Atl",27,19,"East",43,39
"6","Was",25,20,"East",42,40
"7","Cha",23,23,"East",39,43
"8","Det",21,25,"East",39,43
"9","Mil",21,24,"East",38,44
"10","ORL",18,29,"East",38,44
"11","Chi",23,24,"East",37,45
"12","NY",20,27,"East",33,49
"13","Phi",17,27,"East",33,49
"14","Mia",16,30,"East",32,50
"15","Bkn",9,36,"East",22,60
"16","GSW",39,7,"West",73,9
"17","Sas",36,9,"West",72,10
"18","Lac",30,17,"West",52,30
"19","Hou",34,15,"West",49,33
"20","Uta",30,18,"West",47,35
"21","Okc",28,19,"West",43,39
"22","Mem",27,20,"West",42,40
"23","Por",20,27,"West",39,43
"24","NO",18,28,"West",36,46
"25","Sac",18,27,"West",36,46
"26","Den",20,25,"West",34,48
"27","Min",17,29,"West",32,50
"28","Pho",15,31,"West",28,54
"29","Dal",16,30,"West",24,58
"30","Lal",16,34,"West",22,60
