"","team_id","team_city","n"
"1",0,"",1486
"2",1610612737,"Atlanta",15
"3",1610612738,"Boston",15
"4",1610612739,"Cleveland",15
"5",1610612740,"New Orleans",17
"6",1610612741,"Chicago",16
"7",1610612742,"Dallas",15
"8",1610612743,"Denver",15
"9",1610612744,"Golden State",15
"10",1610612745,"Houston",15
"11",1610612746,"LA",15
"12",1610612747,"Los Angeles",14
"13",1610612748,"Miami",15
"14",1610612749,"Milwaukee",15
"15",1610612750,"Minnesota",14
"16",1610612751,"Brooklyn",15
"17",1610612752,"New York",15
"18",1610612753,"Orlando",14
"19",1610612754,"Indiana",15
"20",1610612755,"Philadelphia",15
"21",1610612756,"Phoenix",14
"22",1610612757,"Portland",15
"23",1610612758,"Sacramento",15
"24",1610612759,"San Antonio",15
"25",1610612760,"Oklahoma City",15
"26",1610612761,"Toronto",15
"27",1610612762,"Utah",15
"28",1610612763,"Memphis",16
"29",1610612764,"Washington",15
"30",1610612765,"Detroit",16
"31",1610612766,"Charlotte",15
