"","WAS","CLE","BOS","MIA","DAL","LAL","IND","TOR","DEN","PHI","DET","HOU","CHI","SAC","SAN","New.Orleans.Hornets","UTA","GS","PHO","LAC","MEM","POR","BKN","NY","OKC","Charlotte.Bobcats","ORL","MIL","ATL","MIN"
"ATL",-0.0498554094180308,-0.0866250010702573,-0.0189536939767746,0.0570923835721084,0.0200614579441533,-0.00136804747253478,-0.0386454257961328,-0.00607456456277398,-0.0607025677643226,-0.0309338893000678,-0.0924024835947775,-0.0394379045502855,-0.060148343921101,-0.0398421454989041,0.0338855149837795,-0.0117243214964131,-0.0146997787383533,0.0387158607755715,-0.0552378662419822,0.0391394392365053,-0.0624221372575212,-0.0364804996169787,-0.0168861162882912,-0.0227084847562709,0.0209715172762767,-0.103630624941499,-0.0327831133713606,-0.096310647135943,-0.00921417376958265,-0.0812553514294689
"BOS",-0.0824837855194856,-0.119253377171712,-0.0515820700782293,0.0244640074706536,-0.0125669181573014,-0.0339964235739895,-0.0712738018975876,-0.0387029406642287,-0.0933309438657773,-0.0635622654015226,-0.125030859696232,-0.0720662806517402,-0.0927767200225557,-0.0724705216003589,0.00125713888232478,-0.0443526975978678,-0.047328154839808,0.00608748467411672,-0.087866242343437,0.00651106313505061,-0.0950505133589759,-0.0691088757184335,-0.0495144923897459,-0.0553368608577256,-0.011656858825178,-0.136259001042954,-0.0654114894728153,-0.128939023237398,-0.0418425498710374,-0.113883727530924
"CLE",-0.0153557129883662,-0.0521253046405927,0.01554600245289,0.091592080001773,0.0545611543738179,0.0331316489571298,-0.00414572936646822,0.0284251318668906,-0.0262028713346579,0.00356580712959679,-0.0579027871651129,-0.00493820812062083,-0.0256486474914364,-0.00534244906923952,0.0683852114134441,0.0227753749332515,0.0197999176913113,0.0732155572052361,-0.0207381698123176,0.07363913566617,-0.0279224408278565,-0.00198080318731409,0.0176135801413734,0.0117912116733937,0.0554712137059414,-0.0691309285118344,0.00171658305830407,-0.0618109507062784,0.025285522660082,-0.0467556549998043
"NOH",0.00159663628531197,-0.0351729553669145,0.0324983517265682,0.108544429275451,0.0715135036474961,0.050083998230808,0.01280661990721,0.0453774811405688,-0.00925052206097977,0.020518156403275,-0.0409504378914347,0.0120141411530574,-0.00869629821775818,0.0116099002044387,0.0853375606871223,0.0397277242069297,0.0367522669649895,0.0901679064789142,-0.00378582053863942,0.0905914849398482,-0.0109700915541784,0.0149715460863641,0.0345659294150516,0.0287435609470719,0.0724235629796195,-0.0521785792381562,0.0186689323319822,-0.0448586014326002,0.0422378719337601,-0.0298033057261261
"CHI",-0.048987613683367,-0.0857572053355935,-0.0180858982421108,0.0579601793067722,0.0209292536788171,-0.000500251737870967,-0.037777630061469,-0.00520676882811016,-0.0598347720296588,-0.030066093565404,-0.0915346878601137,-0.0385701088156216,-0.0592805481864372,-0.0389743497642403,0.0347533107184433,-0.0108565257617493,-0.0138319830036895,0.0395836565102353,-0.0543700705073184,0.0400072349711692,-0.0615543415228573,-0.0356127038823149,-0.0160183205536274,-0.0218406890216071,0.0218393130109406,-0.102762829206835,-0.0319153176366967,-0.0954428514012792,-0.00834637803491884,-0.0803875556948051
"DAL",-0.0438633984164314,-0.0806329900686578,-0.0129616829751751,0.0630843945737078,0.0260534689457527,0.00462396352906468,-0.0326534147945334,-8.25535611745141e-05,-0.0547105567627231,-0.0249418782984684,-0.0864104725931781,-0.033445893548686,-0.0541563329195015,-0.0338501344973047,0.039877525985379,-0.00573231049481361,-0.00870776773675382,0.0447078717771709,-0.0492458552403828,0.0451314502381048,-0.0564301262559217,-0.0304884886153793,-0.0108941052866917,-0.0167164737546714,0.0269635282778762,-0.0976386139398996,-0.0267911023697611,-0.0903186361343435,-0.00322216276798319,-0.0752633404278694
"DEN",-0.0524802176979712,-0.0892498093501977,-0.021578502256715,0.054467575292168,0.0174366496642129,-0.00399285575247516,-0.0412702340760732,-0.00869937284271435,-0.0633273760442629,-0.0335586975800082,-0.0950272918747179,-0.0420627128302258,-0.0627731522010414,-0.0424669537788445,0.0312607067038391,-0.0143491297763535,-0.0173245870182937,0.0360910524956311,-0.0578626745219226,0.036514630956565,-0.0650469455374615,-0.0391053078969191,-0.0195109245682316,-0.0253332930362113,0.0183467089963364,-0.106255433221439,-0.0354079216513009,-0.0989354554158834,-0.011838982049523,-0.0838801597094093
"GS",-0.0344569786099798,-0.0712265702622062,-0.00355526316872358,0.0724908143801594,0.0354598887522043,0.0140303833355162,-0.0232469949880818,0.00932386624527706,-0.0453041369562715,-0.0155354584920168,-0.0770040527867265,-0.0240394737422344,-0.0447499131130499,-0.0244437146908531,0.0492839457918306,0.00367410931163796,0.000698652069697753,0.0541142915836225,-0.0398394354339312,0.0545378700445564,-0.0470237064494701,-0.0210820688089277,-0.00148768548024014,-0.00731005394821986,0.0363699480843278,-0.088232194133448,-0.0173846825633095,-0.080912216327892,0.00618425703846838,-0.0658569206214179
"HOU",-0.0059116445385592,-0.0426812361907857,0.024990070902697,0.10103614845158,0.0640052228236249,0.0425757174069368,0.00529833908333878,0.0378692003166977,-0.0167588028848509,0.0130098755794038,-0.0484587187153059,0.00450586032918618,-0.0162045790416294,0.00410161938056748,0.0778292798632512,0.0322194433830586,0.0292439861411183,0.0826596256550431,-0.0112941013625106,0.083083204115977,-0.0184783723780495,0.00746326526249291,0.0270576485911805,0.0212352801232007,0.0649152821557484,-0.0596868600620274,0.0111606515081111,-0.0523668822564714,0.034729591109889,-0.0373115865499973
"LAC",-0.0270914604008664,-0.0638610520530929,0.00381025504038981,0.0798563325892728,0.0428254069613177,0.0213959015446296,-0.0158814767789684,0.0166893844543904,-0.0379386187471582,-0.00816994028290341,-0.0696385345776131,-0.016673955533121,-0.0373843949039366,-0.0170781964817397,0.0566494640009439,0.0110396275207513,0.00806417027881113,0.0614798097927359,-0.0324739172248178,0.0619033882536698,-0.0396581882403567,-0.0137165505998143,0.00587783272887324,5.54642608935238e-05,0.0437354662934412,-0.0808666759243346,-0.0100191643541961,-0.0735466981187786,0.0135497752475818,-0.0584914024123045
