"","Indiana Pacers","Orlando Magic","Miami Heat","Chicago Bulls","Los Angeles Lakers","Los Angeles Clippers","Brooklyn Nets","Cleveland Cavaliers","Philadelphia 76ers","Toronto Raptors","Boston Celtics","Washington Wizards","Detroit Pistons","New York Knicks","Milwaukee Bucks","Charlotte Bobcats","Houston Rockets","Minnesota Timberwolves","New Orleans Pelicans","Atlanta Hawks","Dallas Mavericks","Memphis Grizzlies","San Antonio Spurs","Utah Jazz","Oklahoma City Thunder","Portland Trail Blazers","Phoenix Suns","Denver Nuggets","Sacramento Kings","Golden State Warriors"
"Atlanta",0.000261956281733994,-0.0147605440240102,0.0540638926009303,-0.0397347022678567,0.0141763308836432,0.0356433704941569,0.0276361842541159,-0.049630907440493,-0.0774891118200344,0.0197595141533763,-0.0542880642508832,0.020987448084602,-0.0911214824722724,0.00360101888632245,-0.0638986649035974,-0.0429083399264708,-0.00894146837581074,-0.0543811572604112,0.0108687089579731,0.00689253933954691,0.0341320177101221,-0.000296062921845779,0.0764323457944313,-0.0214485232698975,0.0207001320403244,-0.00836834164107183,0.0150342515019446,-0.030802307972484,-0.00357378668277657,0.0487534634382162
"Boston",-0.0174765467419082,-0.0324990470476525,0.0363253895772881,-0.0574732052914989,-0.00356217213999904,0.0179048674705147,0.00989768123047368,-0.0673694104641352,-0.0952276148436766,0.00202101112973407,-0.0720265672745254,0.00324894506095983,-0.108859985495915,-0.0141374841373198,-0.0816371679272397,-0.060646842950113,-0.026679971399453,-0.0721196602840534,-0.00686979406566912,-0.0108459636840953,0.0163935146864799,-0.018034565945488,0.0586938427707891,-0.0391870262935397,0.0029616290166822,-0.026106844664714,-0.00270425152169766,-0.0485408109961262,-0.0213122897064188,0.0310149604145739
"Cleveland",-0.00372099069688865,-0.0187434910026329,0.0500809456223077,-0.0437176492464793,0.0101933839050205,0.0316604235155343,0.0236532372754933,-0.0536138544191156,-0.0814720587986571,0.0157765671747536,-0.0582710112295058,0.0170045011059794,-0.095104429450895,-0.000381928092300197,-0.0678816118822201,-0.0468912869050934,-0.0129244153544334,-0.0583641042390338,0.00688576197935045,0.00290959236092426,0.0301490707314994,-0.00427900990046842,0.0724493988158087,-0.0254314702485202,0.0167171850617018,-0.0123512886196945,0.0110513045233219,-0.0347852549511066,-0.00755673366139922,0.0447705164595935
"New Orleans",0.0161121199574678,0.0010896196517236,0.0699140562766641,-0.0238845385921228,0.030026494559377,0.0514935341698908,0.0434863479298497,-0.0337807437647591,-0.0616389481443006,0.0356096778291101,-0.0384379005751493,0.0368376117603359,-0.0752713187965385,0.0194511825620563,-0.0480485012278636,-0.0270581762507369,0.00690869529992309,-0.0385309935846774,0.0267188726337069,0.0227427030152807,0.0499821813858559,0.0155541007538881,0.0922825094701652,-0.00559835959416369,0.0365502957160583,0.00748182203466201,0.0308844151776784,-0.0149521442967501,0.0122763769929573,0.06460362711395
"Chicago",-0.0490356210208669,-0.0640581213266111,0.0047663152983294,-0.0890322795704576,-0.0351212464189577,-0.0136542068084439,-0.021661393048485,-0.0989284847430939,-0.126786689122635,-0.0295380631492246,-0.103585641553484,-0.0283101292179988,-0.140419059774873,-0.0456965584162784,-0.113196242206198,-0.0922059172290716,-0.0582390456784116,-0.103678734563012,-0.0384288683446278,-0.042405037963054,-0.0151655595924788,-0.0495936402244467,0.0271347684918304,-0.0707461005724984,-0.0285974452622765,-0.0576659189436727,-0.0342633258006563,-0.0800998852750849,-0.0528713639853775,-0.000544113864384747
"Dallas",0.0144222037165664,-0.000600296589177823,0.0682241400357627,-0.0255744548330242,0.0283365783184756,0.0498036179289894,0.0417964316889483,-0.0354706600056605,-0.063328864385202,0.0339197615882087,-0.0401278168160508,0.0351476955194345,-0.07696123503744,0.0177612663211549,-0.049738417468765,-0.0287480924916383,0.00521877905902167,-0.0402209098255788,0.0250289563928055,0.0210527867743793,0.0482922651449545,0.0138641845129866,0.0905925932292638,-0.00728827583506511,0.0348603794751568,0.00579190579376059,0.029194498936777,-0.0166420605376516,0.0105864607520558,0.0629137108730486
"Denver",-0.00415550566068799,-0.0191780059664322,0.0496464306585083,-0.0441521642102786,0.00975886894122119,0.031225908551735,0.0232187223116939,-0.0540483693829149,-0.0819065737624564,0.0153420522109543,-0.0587055261933052,0.0165699861421801,-0.0955389444146944,-0.000816443056099531,-0.0683161268460194,-0.0473258018688927,-0.0133589303182327,-0.0587986192028332,0.00645124701555112,0.00247507739712493,0.0297145557677001,-0.00471352486426776,0.0720148838520094,-0.0258659852123195,0.0162826700979024,-0.0127858035834938,0.0106167895595226,-0.035219769914906,-0.00799124862519856,0.0443360014957942
"Golden State",-0.0218112244450363,-0.0368337247507806,0.03199071187416,-0.061807882994627,-0.00789684984312715,0.0135701897673866,0.00556300352734557,-0.0717040881672633,-0.0995622925468048,-0.00231366657339404,-0.0763612449776535,-0.00108573264216828,-0.113194663199043,-0.0184721618404479,-0.0859718456303678,-0.0649815206532411,-0.0310146491025811,-0.0764543379871815,-0.0112044717687972,-0.0151806413872234,0.0120588369833517,-0.0223692436486161,0.054359165067661,-0.0435217039966679,-0.0013730486864459,-0.0304415223678421,-0.00703892922482577,-0.0528754886992543,-0.0256469674095469,0.0266802827114458
"Houston",-0.0153403161914665,-0.0303628164972107,0.0384616201277298,-0.0553369747410571,-0.00142594158955728,0.0200410980209565,0.0120339117809154,-0.0652331799136934,-0.0930913842932349,0.00415724168017584,-0.0698903367240836,0.0053851756114016,-0.106723754945473,-0.012001253586878,-0.0795009373767979,-0.0585106123996712,-0.0245437408490112,-0.0699834297336117,-0.00473356351522735,-0.00870973313365354,0.0185297452369216,-0.0158983353950462,0.0608300733212309,-0.037050795743098,0.00509785956712397,-0.0239706141142723,-0.000568020971255894,-0.0464045804456844,-0.019176059155977,0.0331511909650157
"LA",-0.0335849338164618,-0.048607434122206,0.0202170025027345,-0.0735815923660524,-0.0196705592145526,0.00179648039596116,-0.00621070584407989,-0.0834777975386887,-0.11133600191823,-0.0140873759448195,-0.088134954349079,-0.0128594420135937,-0.124968372570468,-0.0302458712118733,-0.0977455550017932,-0.0767552300246665,-0.0427883584740065,-0.088228047358607,-0.0229781811402227,-0.0269543507586489,0.000285127611926285,-0.0341429530200416,0.0425854556962355,-0.0552954133680933,-0.0131467580578714,-0.0422152317392676,-0.0188126385962512,-0.0646491980706798,-0.0374206767809724,0.0149065733400204
"Los Angeles",0.0148654172497642,-0.000157083055980042,0.0686673535689605,-0.0251312412998265,0.0287797918516734,0.0502468314621871,0.0422396452221461,-0.0350274464724628,-0.0628856508520042,0.0343629751214065,-0.039684603282853,0.0355909090526322,-0.0765180215042422,0.0182044798543526,-0.0492952039355672,-0.0283048789584406,0.00566199259221945,-0.039777696292381,0.0254721699260033,0.0214960003075771,0.0487354786781523,0.0143073980461844,0.0910358067624615,-0.00684506230186733,0.0353035930083546,0.00623511932695837,0.0296377124699748,-0.0161988470044538,0.0110296742852536,0.0633569244062464
"Miami",-0.0169041425613063,-0.0319266428670505,0.03689779375789,-0.0569008011108969,-0.00298976795939711,0.0184772716511167,0.0104700854110756,-0.0667970062835332,-0.0946552106630747,0.00259341531033601,-0.0714541630939234,0.00382134924156177,-0.108287581315313,-0.0135650799567178,-0.0810647637466377,-0.060074438769511,-0.026107567218851,-0.0715472561034515,-0.00629738988506718,-0.0102735595034934,0.0169659188670818,-0.0174621617648861,0.0592662469513911,-0.0386146221129378,0.00353403319728414,-0.0255344404841121,-0.00213184734109572,-0.0479684068155243,-0.0207398855258169,0.0315873645951759
"Milwaukee",0.00807628958119557,-0.00694621072454866,0.0618782259003919,-0.0319203689683951,0.0219906641831047,0.0434577037936185,0.0354505175535775,-0.0418165741410314,-0.0696747785205728,0.0275738474528379,-0.0464737309514216,0.0288017813840636,-0.0833071491728108,0.011415352185784,-0.0560843316041359,-0.0350940066270092,-0.00112713507634917,-0.0465668239609496,0.0186830422574347,0.0147068726390085,0.0419463510095836,0.0075182703776158,0.0842466790938929,-0.0136341899704359,0.028514465339786,-0.000554008341610248,0.0228485848014061,-0.0229879746730224,0.004240546616685,0.0565677967376777
"Minnesota",0.0173464799135017,0.00232397960775746,0.071148416232698,-0.022650178636089,0.0312608545154109,0.0527278941259246,0.0447207078858836,-0.0325463838087253,-0.0604045881882667,0.036844037785144,-0.0372035406191155,0.0380719717163697,-0.0740369588405047,0.0206855425180901,-0.0468141412718297,-0.0258238162947031,0.00814305525595695,-0.0372966336286435,0.0279532325897408,0.0239770629713146,0.0512165413418898,0.0167884607099219,0.093516869426199,-0.00436399963812983,0.0377846556720921,0.00871618199069587,0.0321187751337123,-0.0137177843407163,0.0135107369489911,0.0658379870699838
"Brooklyn",0.00481010773561403,-0.0102123925701302,0.0586120440548103,-0.0351865508139766,0.0187244823375232,0.040191521948037,0.0321843357079959,-0.0450827559866129,-0.0729409603661544,0.0243076656072563,-0.0497399127970031,0.0255355995384821,-0.0865733310183923,0.00814917034020248,-0.0593505134497174,-0.0383601884725907,-0.00439331692193071,-0.0498330058065312,0.0154168604118531,0.0114406907934269,0.0386801691640021,0.00425208853203425,0.0809804972483114,-0.0169003718160175,0.0252482834942045,-0.00382019018719179,0.0195824029558246,-0.0262541565186039,0.000974364771103459,0.0533016148920962
"New York",0.000729581951063369,-0.0142929183546809,0.0545315182702597,-0.0392670765985273,0.0146439565529725,0.0361109961634863,0.0281038099234453,-0.0491632817711636,-0.077021486150705,0.0202271398227057,-0.0538204385815538,0.0214550737539314,-0.090653856802943,0.00406864455565183,-0.0634310392342681,-0.0424407142571414,-0.00847384270648137,-0.0539135315910818,0.0113363346273025,0.00736016500887629,0.0345996433794514,0.000171562747483597,0.0768999714637607,-0.0209808976005681,0.0211677577096538,-0.00790071597174245,0.0155018771712739,-0.0303346823031546,-0.0031061610134472,0.0492210891075455
"Orlando",0.011704076803107,-0.00331842350263728,0.0655060131223033,-0.0282925817464837,0.0256184514050161,0.0470854910155299,0.0390783047754889,-0.03818878691912,-0.0660469912986615,0.0312016346747492,-0.0428459437295102,0.032429568605975,-0.0796793619508994,0.0150431394076954,-0.0524565443822245,-0.0314662194050978,0.00250065214556222,-0.0429390367390382,0.0223108294793461,0.0183346598609199,0.045574138231495,0.0111460575995272,0.0878744663158043,-0.0100064027485246,0.0321422525616974,0.00307377888030114,0.0264763720233175,-0.019360187451111,0.00786833383859638,0.0601955839595891
"Indiana",-0.0645648405833548,-0.079587340889099,-0.0107629042641585,-0.104561499132945,-0.0506504659814456,-0.0291834263709318,-0.0371906126109729,-0.114457704305582,-0.142315908685123,-0.0450672827117125,-0.119114861115972,-0.0438393487804867,-0.155948279337361,-0.0612257779787663,-0.128725461768686,-0.10773513679156,-0.0737682652408995,-0.1192079541255,-0.0539580879071157,-0.0579342575255419,-0.0306947791549667,-0.0651228597869345,0.0116055489293426,-0.0862753201349863,-0.0441266648247643,-0.0731951385061606,-0.0497925453631442,-0.0956291048375727,-0.0684005835478653,-0.0160733334268726
"Philadelphia",0.0216765132295164,0.00665401292377213,0.0754784495487127,-0.0183201453200743,0.0355908878314255,0.0570579274419393,0.0490507412018983,-0.0282163504927106,-0.0560745548722521,0.0411740711011587,-0.0328735073031008,0.0424020050323844,-0.06970692552449,0.0250155758341048,-0.0424841079558151,-0.0214937829786884,0.0124730885719716,-0.0329666003126288,0.0322832659057555,0.0283070962873293,0.0555465746579044,0.0211184940259366,0.0978469027422137,-3.39663221151511e-05,0.0421146889881068,0.0130462153067105,0.0364488084497269,-0.00938775102470161,0.0178407702650058,0.0701680203859985
"Phoenix",-0.0170069664911521,-0.0320294667968963,0.0367949698280442,-0.0570036250407427,-0.00309259188924289,0.0183744477212709,0.0103672614812298,-0.066899830213379,-0.0947580345929205,0.00249059138049022,-0.0715569870237692,0.00371852531171598,-0.108390405245158,-0.0136679038865636,-0.0811675876764835,-0.0601772626993568,-0.0262103911486968,-0.0716500800332973,-0.00640021381491297,-0.0103763834333392,0.016863094937236,-0.0175649856947318,0.0591634230215453,-0.0387174460427836,0.00343120926743835,-0.0256372644139579,-0.00223467127094151,-0.04807123074537,-0.0208427094556626,0.0314845406653301
"Portland",-0.0158203587144925,-0.0308428590202367,0.0379815776047038,-0.0558170172640831,-0.00190598411258328,0.0195610554979305,0.0115538692578894,-0.0657132224367194,-0.0935714268162609,0.00367719915714983,-0.0703703792471096,0.00490513308837559,-0.107203797468499,-0.012481296109904,-0.0799809798998239,-0.0589906549226972,-0.0250237833720372,-0.0704634722566377,-0.00521360603825335,-0.00918977565667955,0.0180497027138956,-0.0163783779180722,0.0603500307982049,-0.037530838266124,0.00461781704409797,-0.0244506566372983,-0.0010480634942819,-0.0468846229687104,-0.019656101679003,0.0326711484419897
"Sacramento",0.0346672006052984,0.0196447002995541,0.0884691369244947,-0.00532945794429227,0.0485815752072076,0.0700486148177213,0.0620414285776803,-0.0152256631169286,-0.04308386749647,0.0541647584769407,-0.0198828199273188,0.0553926924081664,-0.056716238148708,0.0380062632098868,-0.0294934205800331,-0.00850309560290636,0.0254637759477536,-0.0199759129368468,0.0452739532815375,0.0412977836631113,0.0685372620336865,0.0341091814017186,0.110837590117996,0.0129567210536669,0.0551053763638888,0.0260369026824926,0.0494394958255089,0.00360293635108041,0.0308314576407878,0.0831587077617805
"San Antonio",-0.0162686247389553,-0.0312911250446995,0.037533311580241,-0.0562652832885459,-0.00235425013704609,0.0191127894734677,0.0111056032334266,-0.0661614884611822,-0.0940196928407237,0.00322893313268702,-0.0708186452715724,0.00445686706391279,-0.107652063492962,-0.0129295621343668,-0.0804292459242867,-0.05943892094716,-0.0254720493965,-0.0709117382811005,-0.00566187206271616,-0.00963804168114235,0.0176014366894328,-0.016826643942535,0.0599017647737421,-0.0379791042905868,0.00416955101963516,-0.0248989226617611,-0.0014963295187447,-0.0473328889931732,-0.0201043677034658,0.0322228824175269
"Oklahoma City",-0.0480517382965263,-0.0630742386022705,0.00575019802267005,-0.0880483968461169,-0.0341373636946171,-0.0126703240841033,-0.0206775103241443,-0.0979446020187532,-0.125802806398295,-0.028554180424884,-0.102601758829143,-0.0273262464936582,-0.139435177050533,-0.0447126756919378,-0.112212359481858,-0.091222034504731,-0.057255162954071,-0.102694851838671,-0.0374449856202871,-0.0414211552387133,-0.0141816768681382,-0.048609757500106,0.0281186512161711,-0.0697622178481578,-0.0276135625379358,-0.0566820362193321,-0.0332794430763157,-0.0791160025507442,-0.0518874812610368,0.000439768859955906
"Toronto",-0.0108889751711426,-0.0259114754768868,0.0429129611480537,-0.0508856337207333,0.00302539943076658,0.0244924390412804,0.0164852528012393,-0.0607818388933696,-0.088640043272911,0.00860858270049969,-0.0654389957037598,0.00983651663172545,-0.102272413925149,-0.00754991256655414,-0.075049596356474,-0.0540592713793473,-0.0200923998286873,-0.0655320887132878,-0.000282222494903491,-0.00425839211332968,0.0229810862572455,-0.0114469943747224,0.0652814143415547,-0.0325994547227741,0.00954920058744783,-0.0195192730939484,0.00388332004906797,-0.0419532394253606,-0.0147247181356532,0.0376025319853396
"Utah",0.0290231417482484,0.0140006414425042,0.0828250780674447,-0.0109735168013422,0.0429375163501576,0.0644045559606714,0.0563973697206303,-0.0208697219739785,-0.04872792635352,0.0485206996198907,-0.0255268787843687,0.0497486335511165,-0.0623602970057579,0.0323622043528369,-0.035137479437083,-0.0141471544599563,0.0198197170907037,-0.0256199717938967,0.0396298944244876,0.0356537248060614,0.0628932031766365,0.0284651225446687,0.105193531260946,0.00731266219661693,0.0494613175068389,0.0203928438254426,0.043795436968459,-0.00204112250596953,0.0251873987837379,0.0775146489047306
"Memphis",-0.0126777866663351,-0.0277002869720793,0.0411241496528612,-0.0526744452159257,0.00123658793557412,0.0227036275460879,0.0146964413060468,-0.062570650388562,-0.0904288547681035,0.00681977120530723,-0.0672278071989522,0.00804770513653299,-0.104061225420341,-0.0093387240617466,-0.0768384078516665,-0.0558480828745398,-0.0218812113238798,-0.0673209002084802,-0.00207103399009595,-0.00604720360852215,0.021192274762053,-0.0132358058699148,0.0634926028463623,-0.0343882662179666,0.00776038909225537,-0.0213080845891409,0.0020945085538755,-0.043742050920553,-0.0165135296308456,0.0358137204901471
"Washington",0.00552188395247735,-0.00950061635326688,0.0593238202716737,-0.0344747745971133,0.0194362585543865,0.0409032981649003,0.0328961119248593,-0.0443709797697496,-0.0722291841492911,0.0250194418241196,-0.0490281365801398,0.0262473757553454,-0.085861554801529,0.00886094655706581,-0.0586387372328541,-0.0376484122557274,-0.00368154070506739,-0.0491212295896678,0.0161286366287165,0.0121524670102903,0.0393919453808654,0.00496386474889758,0.0816922734651747,-0.0161885955991542,0.0259600597110678,-0.00310841397032847,0.0202941791726879,-0.0255423803017406,0.00168614098796678,0.0540133911089595
"Detroit",-0.00340486280748813,-0.0184273631132324,0.0503970735117082,-0.0434015213570788,0.010509511794421,0.0319765514049348,0.0239693651648938,-0.0532977265297151,-0.0811559309092565,0.0160926950641542,-0.0579548833401053,0.0173206289953799,-0.0947883015614945,-6.58002028996757e-05,-0.0675654839928196,-0.0465751590156929,-0.0126082874650329,-0.0580479763496333,0.00720188986875097,0.00322572025032478,0.0304651986208999,-0.0039628820110679,0.0727655267052092,-0.0251153423591196,0.0170333129511023,-0.0120351607302939,0.0113674324127224,-0.0344691270617061,-0.0072406057719987,0.045086644348994
"Charlotte",-0.0319123811799506,-0.0469348814856948,0.0218895551392457,-0.0719090397295412,-0.0179980065780414,0.00346903303247238,-0.00453815320756867,-0.0818052449021775,-0.109663449281719,-0.0124148233083083,-0.0864624017125677,-0.0111868893770825,-0.123295819933957,-0.0285733185753621,-0.096073002365282,-0.0750826773881553,-0.0411158058374953,-0.0865554947220958,-0.0213056285037115,-0.0252817981221377,0.0019576802484375,-0.0324704003835303,0.0442580083327468,-0.0536228607315821,-0.0114742054213602,-0.0405426791027564,-0.01714008595974,-0.0629766454341686,-0.0357481241444612,0.0165791259765316
