"","NY","Cle","Uta","Por","Sas","GSW","Mia","ORL","Ind","Dal","Bkn","Bos","Det","Tor","Cha","Mil","Min","Mem","NO","Den","Okc","Phi","Sac","Pho","Hou","Lal","Was","Atl","Chi","Lac"
"Atl",-0.0500952318173577,-0.00964146206286765,-0.0163996267654031,-0.0135560027368953,0.0153341475342049,0.0557910694175154,-0.052237305554502,-0.0522318910657981,0.00675637340810989,-0.0169609455772669,-0.0459430453828767,-0.0188095133980905,-0.0692174601732324,-0.00165796488303614,-0.0500518496298036,-0.0436687562228763,-0.0348101978433253,-0.0523747169786659,-0.022699813851721,-0.015403551073921,-0.0769643727151199,-0.0590427069865822,-0.00581629270151025,-0.070624116000628,-0.0294760987808704,-0.0570958661376947,0.00859884185383838,-0.0789952605716457,-0.0620585302408827,0.019681185540067
"Bos",-0.0492680990959982,-0.00881432934150819,-0.0155724940440436,-0.0127288700155358,0.0161612802555644,0.0566182021388749,-0.0514101728331425,-0.0514047583444386,0.00758350612946935,-0.0161338128559074,-0.0451159126615172,-0.0179823806767311,-0.068390327451873,-0.000830832161676676,-0.0492247169084442,-0.0428416235015168,-0.0339830651219659,-0.0515475842573064,-0.0218726811303616,-0.0145764183525616,-0.0761372399937604,-0.0582155742652228,-0.00498915998015079,-0.0697969832792685,-0.028648966059511,-0.0562687334163352,0.00942597457519784,-0.0781681278502863,-0.0612313975195233,0.0205083182614265
"Cle",-0.0408004041382757,-0.000346634383785667,-0.00710479908632108,-0.0042611750578133,0.0246289752132869,0.0650858970965974,-0.04294247787542,-0.0429370633867161,0.0160512010871919,-0.00766611789818493,-0.0366482177037947,-0.00951468571900853,-0.0599226324941504,0.00763686279604585,-0.0407570219507217,-0.0343739285437943,-0.0255153701642434,-0.0430798892995839,-0.013404986172639,-0.00610872339483906,-0.0676695450360379,-0.0497478793075002,0.00347853497757173,-0.061329288321546,-0.0201812711017884,-0.0478010384586127,0.0178936695329204,-0.0697004328925637,-0.0527637025618007,0.028976013219149
"NO",-0.041486378518665,-0.001032608764175,-0.00779077346671041,-0.00494714943820263,0.0239430008328976,0.0643999227162081,-0.0436284522558094,-0.0436230377671054,0.0153652267068025,-0.00835209227857426,-0.037334192084184,-0.0102006600993979,-0.0606086068745398,0.00695088841565651,-0.041442996331111,-0.0350599029241837,-0.0262013445446327,-0.0437658636799732,-0.0140909605530284,-0.00679469777522839,-0.0683555194164272,-0.0504338536878896,0.0027925605971824,-0.0620152627019353,-0.0208672454821778,-0.048487012839002,0.017207695152531,-0.0703864072729531,-0.0534496769421901,0.0282900388387597
"Chi",-0.0385765620579971,0.00187720769649294,-0.00488095700604246,-0.00203733297753469,0.0268528172935655,0.067309739176876,-0.0407186357951414,-0.0407132213064375,0.0182750431674705,-0.00544227581790632,-0.0344243756235161,-0.00729084363872992,-0.0576987904138718,0.00986070487632446,-0.038533179870443,-0.0321500864635157,-0.0232915280839648,-0.0408560472193053,-0.0111811440923604,-0.00388488131456045,-0.0654457029557593,-0.0475240372272216,0.00570237705785034,-0.0591054462412674,-0.0179574290215098,-0.0455771963783341,0.020117511613199,-0.0674765908122851,-0.0505398604815221,0.0311998552994276
"Dal",0.0134558946668964,0.0539096644213864,0.047151499718851,0.0499951237473588,0.078885274018459,0.119342195901769,0.0113138209297521,0.011319235418456,0.070307499892364,0.0465901809069872,0.0176080811013774,0.0447416130861636,-0.00566633368897836,0.0618931616012179,0.0134992768544504,0.0198823702613778,0.0287409286409287,0.0111764095055882,0.040851312632533,0.048147575410333,-0.0134132462308658,0.00450841949767185,0.0577348337827438,-0.00707298951637391,0.0340750277033836,0.00645526034655938,0.0721499683380925,-0.0154441340873917,0.00149259624337134,0.0832323120243211
"Den",0.0230628802895807,0.0635166500440707,0.0567584853415353,0.0596021093700431,0.0884922596411433,0.128949181524454,0.0209208065524364,0.0209262210411403,0.0799144855150483,0.0561971665296715,0.0272150667240617,0.0543485987088479,0.00394065193370594,0.0715001472239022,0.0231062624771347,0.0294893558840621,0.038347914263613,0.0207833951282725,0.0504582982552173,0.0577545610330173,-0.00380626060818148,0.0141154051203562,0.0673418194054281,0.00253399610631039,0.0436820133260679,0.0160622459692437,0.0817569539607768,-0.00583714846470735,0.0110995818660556,0.0928392976470054
"GSW",-0.0895975410740338,-0.0491437713195438,-0.0559019360220792,-0.0530583119935714,-0.0241681617224712,0.0162887601608393,-0.0917396148111781,-0.0917342003224742,-0.0327459358485663,-0.0564632548339431,-0.0854453546395528,-0.0583118226547667,-0.108719769429909,-0.0411602741397123,-0.0895541588864798,-0.0831710654795525,-0.0743125071000015,-0.091877026235342,-0.0622021231083972,-0.0549058603305972,-0.116466681971796,-0.0985450162432584,-0.0453186019581864,-0.110126425257304,-0.0689784080375466,-0.0965981753943708,-0.0309034674028378,-0.118497569828322,-0.101560839497559,-0.0198211237166091
"Hou",-0.0236467665338402,0.0168070032206498,0.0100488385181144,0.0128924625466222,0.0417826128177224,0.0822395347010329,-0.0257888402709845,-0.0257834257822806,0.0332048386916274,0.00948751970625056,-0.0194945800993592,0.00763895188542696,-0.042768994889715,0.0247905004004813,-0.0236033843462862,-0.0172202909393588,-0.00836173255980788,-0.0259262516951484,0.00374865143179644,0.0110449142095964,-0.0505159074316024,-0.0325942417030647,0.0206321725820072,-0.0441756507171105,-0.00302763349735296,-0.0306474008541772,0.0350473071373558,-0.0525467952881283,-0.0356100649573653,0.0461296508235845
"Lac",-0.0330051325580657,0.00744863719642433,0.000690472493888924,0.00353409652239669,0.0324242467934969,0.0728811686768074,-0.03514720629521,-0.0351417918065061,0.0238464726674019,0.000129153682025067,-0.0288529461235847,-0.00171941413879853,-0.0521273609139404,0.0154321343762558,-0.0329617503705117,-0.0265786569635843,-0.0177200985840334,-0.0352846177193739,-0.00560971459242905,0.00168654818537094,-0.0598742734558279,-0.0419526077272902,0.0112738065577817,-0.053534016741336,-0.0123859995215784,-0.0400057668784027,0.0256889411131304,-0.0619051613123537,-0.0449684309815907,0.036771284799359
"Lal",0.0237822417491205,0.0642360115036105,0.0574778468010751,0.0603214708295829,0.0892116211006831,0.129668542983994,0.0216401680119762,0.0216455825006801,0.0806338469745881,0.0569165279892113,0.0279344281836015,0.0550679601683877,0.00466001339324576,0.0722195086834421,0.0238256239366746,0.0302087173436019,0.0390672757231528,0.0215027565878123,0.0511776597147572,0.0584739224925572,-0.00308689914864166,0.014834766579896,0.0680611808649679,0.00325335756585021,0.0444013747856078,0.0167816074287835,0.0824763154203166,-0.00511778700516753,0.0118189433255955,0.0935586591065452
"Mia",-0.07221069252415,-0.0317569227696599,-0.0385150874721953,-0.0356714634436876,-0.00678131317258733,0.0336756087107232,-0.0743527662612943,-0.0743473517725903,-0.0153590872986824,-0.0390764062840592,-0.0680585060896689,-0.0409249741048828,-0.0913329208800247,-0.0237734255898284,-0.0721673103365959,-0.0657842169296686,-0.0569256585501176,-0.0744901776854582,-0.0448152745585133,-0.0375190117807133,-0.0990798334219121,-0.0811581676933745,-0.0279317534083025,-0.0927395767074203,-0.0515915594876627,-0.079211326844487,-0.0135166188529539,-0.101110721278438,-0.084173990947675,-0.00243427516672526
"Mil",-0.040897554574318,-0.000443784819827919,-0.00720194952236333,-0.00435832549385555,0.0245318247772447,0.0649887466605552,-0.0430396283114623,-0.0430342138227583,0.0159540506511496,-0.00776326833422718,-0.0367453681398369,-0.00961183615505078,-0.0600197829301927,0.00753971236000359,-0.0408541723867639,-0.0344710789798366,-0.0256125206002856,-0.0431770397356262,-0.0135021366086813,-0.00620587383088131,-0.0677666954720801,-0.0498450297435425,0.00338138454152948,-0.0614264387575882,-0.0202784215378307,-0.047898188894655,0.0177965190968781,-0.069797583328606,-0.052860852997843,0.0288788627831067
