"","Date","Visitor","Visit_PTS","Home","Home_PTS","Season","defAPPS","offAPPS","HomeRes","Type","PredBRT","day","Result","VegasPred","ATS","Total","OU"
"5271",2016-04-16,"Hou",78,"GSW",104,2016,0.0387989875898116,-0.000526712837195498,-26,"Playoffs",-7.97860220124789,NA,NA,NA,NA,NA,NA
"5279",2016-04-18,"Hou",106,"GSW",115,2016,0.0387989875898116,-0.000526712837195498,-9,"Playoffs",-7.97860220124789,NA,NA,NA,NA,NA,NA
"5287",2016-04-21,"GSW",96,"Hou",97,2016,-0.000526712837195498,0.0387989875898116,-1,"Playoffs",3.78372399440722,NA,NA,NA,NA,NA,NA
"5300",2016-04-24,"GSW",121,"Hou",94,2016,-0.000526712837195498,0.0387989875898116,27,"Playoffs",3.78372399440722,NA,NA,NA,NA,NA,NA
"5309",2016-04-27,"Hou",81,"GSW",114,2016,0.0387989875898116,-0.000526712837195498,-33,"Playoffs",-7.97860220124789,NA,NA,NA,NA,NA,NA
"5319",2016-05-01,"Por",106,"GSW",118,2016,0.0439437371855738,0.00109321433317112,-12,"Playoffs",-9.84242904600412,NA,NA,NA,NA,NA,NA
"5324",2016-05-03,"Por",99,"GSW",110,2016,0.0439437371855738,0.00109321433317112,-11,"Playoffs",-9.84242904600412,NA,NA,NA,NA,NA,NA
"5330",2016-05-07,"GSW",108,"Por",120,2016,0.00109321433317112,0.0439437371855738,-12,"Playoffs",4.00328252228882,NA,NA,NA,NA,NA,NA
"5335",2016-05-09,"GSW",132,"Por",125,2016,0.00109321433317112,0.0439437371855738,7,"Playoffs",4.00328252228882,NA,NA,NA,NA,NA,NA
"5340",2016-05-11,"Por",121,"GSW",125,2016,0.0439437371855738,0.00109321433317112,-4,"Playoffs",-9.84242904600412,NA,NA,NA,NA,NA,NA
"5345",2016-05-16,"Okc",108,"GSW",102,2016,0.0142771372166063,0.00509896465521028,6,"Playoffs",-4.53071100875183,NA,NA,NA,NA,NA,NA
"5348",2016-05-18,"Okc",91,"GSW",118,2016,0.0142771372166063,0.00509896465521028,-27,"Playoffs",-4.53071100875183,NA,NA,NA,NA,NA,NA
"5352",2016-05-22,"GSW",105,"Okc",133,2016,0.00509896465521028,0.0142771372166063,-28,"Playoffs",-0.365839602216945,NA,NA,NA,NA,NA,NA
"5355",2016-05-24,"GSW",94,"Okc",118,2016,0.00509896465521028,0.0142771372166063,-24,"Playoffs",-0.365839602216945,NA,NA,NA,NA,NA,NA
"5358",2016-05-26,"Okc",111,"GSW",120,2016,0.0142771372166063,0.00509896465521028,-9,"Playoffs",-4.53071100875183,NA,NA,NA,NA,NA,NA
"5361",2016-05-28,"GSW",108,"Okc",101,2016,0.00509896465521028,0.0142771372166063,7,"Playoffs",-0.365839602216945,NA,NA,NA,NA,NA,NA
"5363",2016-05-30,"Okc",88,"GSW",96,2016,0.0142771372166063,0.00509896465521028,-8,"Playoffs",-4.53071100875183,NA,NA,NA,NA,NA,NA
"5365",2016-06-02,"Cle",89,"GSW",104,2016,0.0283208180522297,0.00615681607280328,-15,"Playoffs",-6.67557486878294,NA,NA,NA,NA,NA,NA
"5367",2016-06-05,"Cle",77,"GSW",110,2016,0.0283208180522297,0.00615681607280328,-33,"Playoffs",-6.67557486878294,NA,NA,NA,NA,NA,NA
"5369",2016-06-08,"GSW",90,"Cle",120,2016,0.00615681607280328,0.0283208180522297,-30,"Playoffs",2.08082635499673,NA,NA,NA,NA,NA,NA
"5371",2016-06-10,"GSW",108,"Cle",97,2016,0.00615681607280328,0.0283208180522297,11,"Playoffs",2.08082635499673,NA,NA,NA,NA,NA,NA
"5373",2016-06-13,"Cle",112,"GSW",97,2016,0.0283208180522297,0.00615681607280328,15,"Playoffs",-6.67557486878294,NA,NA,NA,NA,NA,NA
"5375",2016-06-16,"GSW",101,"Cle",115,2016,0.00615681607280328,0.0283208180522297,-14,"Playoffs",2.08082635499673,NA,NA,NA,NA,NA,NA
"5377",2016-06-19,"Cle",93,"GSW",89,2016,0.0283208180522297,0.00615681607280328,4,"Playoffs",-6.67557486878294,NA,NA,NA,NA,NA,NA
"5579",2016-11-21,"GSW",120,"Ind",83,2017,0.0227887485085188,0.0763637559785533,37,"regular_season",1.48482304316971,26,NA,NA,NA,NA,NA
"5584",2016-11-21,"Pho",101,"Was",106,2017,0.0165560721885587,0.0108634690145535,-5,"regular_season",-7.84544962860765,26,NA,NA,NA,NA,NA
"5596",2016-11-23,"Lal",106,"GSW",149,2017,0.0829941386984726,0.0179765683814888,-43,"regular_season",-10.6124526040728,28,NA,NA,NA,NA,NA
"5601",2016-11-23,"Pho",92,"ORL",87,2017,0.0041866059989275,-0.0293610834045248,5,"regular_season",-5.74580982421475,28,NA,NA,NA,NA,NA
"5612",2016-11-25,"GSW",109,"Lal",85,2017,0.0131861648499957,0.0900809988701239,24,"regular_season",5.88877903010005,29,NA,NA,NA,NA,NA
"5616",2016-11-25,"Min",98,"Pho",85,2017,-0.0116946958136386,-0.00147375807036273,13,"regular_season",-0.163064073432847,29,NA,NA,NA,NA,NA
"5626",2016-11-26,"Min",102,"GSW",115,2017,0.0599494538364731,-0.00061438294231026,-13,"regular_season",-7.74140695056196,30,NA,NA,NA,NA,NA
